titulo;preco_old;preco_new;link
101 ideias criativas para o culto doméstico;R$ 29,80;https://leitura.com.br/101-ideias-criativas-para-o-culto-domestico-L999-9788589320160?page=2&limit=96;
101 ideias criativas para professores;R$ 35,61;https://leitura.com.br/101-ideias-criativas-para-professores-L999-9788588234529?page=2&limit=96;
101 ideias de como paparicar seu marido e fortalecer seu lar;R$ 27,31;https://leitura.com.br/101-ideias-de-como-paparicar-seu-marido-e-fortalecer-seu-lar-L999-9786586109054?page=2&limit=96;
101 ideias de como paparicar sua esposa e fortalecer seu lar;R$ 27,31;https://leitura.com.br/101-ideias-de-como-paparicar-sua-esposa-e-fortalecer-seu-lar-L999-9786586109078?page=2&limit=96;
101 jogos para motricidade limitada e espaços reduzidos;R$ 49,80;https://leitura.com.br/101-jogos-para-motricidade-limitada-e-espacos-reduzidos-L999-9788532653147?page=2&limit=96;
101 lições a serem aprendidas na escola de artes;R$ 53,87;https://leitura.com.br/101-licoes-a-serem-aprendidas-na-escola-de-artes-L999-9788578277222?page=2&limit=96;
101 lugares para fazer amor antes de morrer;R$ 24,92;https://leitura.com.br/101-lugares-para-fazer-amor-antes-de-morrer-L999-9788576846154?page=2&limit=96;
101 lugares para fazer sexo antes de morrer;R$ 41,42;https://leitura.com.br/101-lugares-para-fazer-sexo-antes-de-morrer-L999-9788576843061?page=2&limit=96;
101 mulheres que mudaram o mundo;R$ 28,97;https://leitura.com.br/101-mulheres-que-mudaram-o-mundo-L999-9788538094975?page=2&limit=96;
101 perguntas e respostas;R$ 24,82;https://leitura.com.br/101-perguntas-e-respostas-L999-9788538026303?page=2&limit=96;
101 primeiros desenhos;R$ 12,37;https://leitura.com.br/101-primeiros-desenhos-L999-9786555003864?page=2&limit=96;
101 primeiros desenhos - Barbie;R$ 11,18;https://leitura.com.br/101-primeiros-desenhos---barbie-L999-9788538098539?page=2&limit=96;
101 primeiros desenhos - Dinossauros;R$ 12,37;https://leitura.com.br/101-primeiros-desenhos---dinossauros-L999-9786555006698?page=2&limit=96;
101 primeiros desenhos - Esportes e atividades físicas;R$ 12,37;https://leitura.com.br/101-primeiros-desenhos---esportes-e-atividades-fisicas-L999-9788538094968?page=2&limit=96;
101 primeiros desenhos - Fisher-price;R$ 12,37;https://leitura.com.br/101-primeiros-desenhos---fisher-price-L999-9786555004427?page=2&limit=96;
101 primeiros desenhos - Galinha Pintadinha;R$ 12,37;https://leitura.com.br/101-primeiros-desenhos---galinha-pintadinha-L999-9788538095200?page=2&limit=96;
101 primeiros desenhos - Ovelha Rosa e seus amigos;R$ 12,37;https://leitura.com.br/101-primeiros-desenhos---ovelha-rosa-e-seus-amigos-L999-9788538094944?page=2&limit=96;
101 primeiros desenhos - Patrulha Canina;R$ 12,37;https://leitura.com.br/101-primeiros-desenhos---patrulha-canina-L999-9786555006711?page=2&limit=96;
101 primeiros desenhos - Turma da Mônica;R$ 12,37;https://leitura.com.br/101-primeiros-desenhos---turma-da-monica-L999-9786555006674?page=2&limit=96;
